"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HLA-DRA5",4.0663578915318e-319,1.52622779384565,0.763,0.187,8.15304757252125e-316,"19","HLA-DRA"
"ITGAX5",1.88766673175273e-318,2.18190880034464,0.498,0.089,3.78477179716423e-315,"19","ITGAX"
"NPC23",3.06340463047407e-317,2.37562150454484,0.484,0.086,6.1421262841005e-314,"19","NPC2"
"PTP4A3",9.01453399943003e-315,2.96370814299434,0.197,0.015,1.80741406688572e-311,"19","PTP4A3"
"MEFV3",1.33769860056306e-314,2.42980595088604,0.39,0.057,2.68208569412894e-311,"19","MEFV"
"CLEC7A3",5.22885133234717e-312,2.24719968742734,0.435,0.07,1.04838469213561e-308,"19","CLEC7A"
"RGS23",6.65282625055046e-310,1.74617288849741,0.591,0.122,1.33389166323537e-306,"19","RGS2"
"CASP15",2.35788365103304e-307,2.16717112966708,0.554,0.113,4.72755672032124e-304,"19","CASP1"
"S100A47",3.59587465496747e-306,1.85090562298199,0.795,0.225,7.20972868320977e-303,"19","S100A4"
"IRAK34",2.75956364088746e-303,2.05654303814009,0.55,0.111,5.53292509997936e-300,"19","IRAK3"
"RNF144B4",3.74928185439084e-302,2.25174662148609,0.449,0.077,7.51731011805363e-299,"19","RNF144B"
"TKT4",1.16392400715393e-301,1.7916998858109,0.741,0.194,2.33366763434362e-298,"19","TKT"
"SPN5",4.16055835055576e-297,1.91213549456004,0.738,0.204,8.34191949286429e-294,"19","SPN"
"HLA-DRB15",4.30172138613107e-294,1.58467829040904,0.754,0.202,8.62495137919279e-291,"19","HLA-DRB1"
"TGFBI3",2.87910634629809e-289,2.20315910451827,0.409,0.067,5.77260822432768e-286,"19","TGFBI"
"OAZ14",1.04997656332373e-279,1.77659834750066,0.888,0.352,2.10520300946407e-276,"19","OAZ1"
"FCN14",2.41381078411531e-279,1.50256043615273,0.668,0.154,4.83969062215119e-276,"19","FCN1"
"GNS4",1.33339866442498e-277,1.938236385212,0.574,0.129,2.67346432217208e-274,"19","GNS"
"S100A113",9.61528214148522e-271,2.13769739744754,0.417,0.073,1.92786406936779e-267,"19","S100A11"
"MYOF5",8.38460722527927e-266,1.82636104299018,0.505,0.103,1.68111374866849e-262,"19","MYOF"
"TNFSF105",1.58985879059432e-264,2.09932199939041,0.512,0.11,3.18766687514162e-261,"19","TNFSF10"
"FAM49A5",1.48144930381471e-261,1.89055625029884,0.506,0.105,2.97030585414849e-258,"19","FAM49A"
"OAS13",2.35276489484289e-261,2.20533296624074,0.405,0.072,4.71729361416e-258,"19","OAS1"
"LTA4H5",9.69083768591907e-261,2.09507665658687,0.524,0.115,1.94301295602677e-257,"19","LTA4H"
"LILRA23",3.03726673969055e-256,2.64082956239654,0.265,0.033,6.08971981307955e-253,"19","LILRA2"
"CALM27",4.21075065291859e-256,1.89086048860137,0.682,0.194,8.44255505910178e-253,"19","CALM2"
"ANXA25",3.60156543202728e-254,1.71366846239116,0.69,0.191,7.22113869121469e-251,"19","ANXA2"
"ACTB7",9.72801342824539e-254,1.57914439166342,0.962,0.508,1.9504666923632e-250,"19","ACTB"
"FCGR2A3",2.58725992485641e-247,2.0120364314692,0.39,0.069,5.1874561493371e-244,"19","FCGR2A"
"CD745",2.20460547964472e-244,1.26371005164146,0.885,0.322,4.42023398668765e-241,"19","CD74"
"IGSF63",4.2304258191871e-244,2.2795154287221,0.351,0.058,8.48200376747014e-241,"19","IGSF6"
"TIMP14",5.48164606948859e-242,2.33942120661383,0.36,0.062,1.09907003693246e-238,"19","TIMP1"
"LILRA53",9.30277780130456e-241,2.6477646058495,0.263,0.035,1.86520694916156e-237,"19","LILRA5"
"BRI33",1.58504506188511e-237,1.84464961723039,0.486,0.105,3.17801534907964e-234,"19","BRI3"
"CLEC12A3",5.5295454575174e-237,2.01596793021477,0.405,0.076,1.10867386423224e-233,"19","CLEC12A"
"SPI13",1.87340740963835e-235,1.92416520513809,0.39,0.071,3.7561818563249e-232,"19","SPI1"
"HLA-DPB15",2.13831010103849e-229,1.47877039896968,0.67,0.189,4.28731175258216e-226,"19","HLA-DPB1"
"ETS23",3.43868689166874e-229,2.26731962414545,0.325,0.053,6.89456721779583e-226,"19","ETS2"
"CX3CR14",6.91070382269205e-229,1.78257432777444,0.506,0.115,1.38559611644976e-225,"19","CX3CR1"
"DMXL23",8.33465853806441e-227,1.74013270686917,0.51,0.117,1.67109903688191e-223,"19","DMXL2"
"ZFP366",1.08686153243928e-224,1.79347810717486,0.544,0.135,2.17915737254077e-221,"19","ZFP36"
"RAB315",2.03877735437909e-222,1.5079385060158,0.596,0.154,4.08774859553008e-219,"19","RAB31"
"EMILIN23",6.36575322977276e-222,1.6251779381264,0.515,0.119,1.27633352256944e-218,"19","EMILIN2"
"MYL67",2.41023063195448e-220,1.49450099775868,0.89,0.394,4.83251241706873e-217,"19","MYL6"
"HLA-DRB54",5.61584185669579e-218,1.86695475842632,0.451,0.098,1.12597629226751e-214,"19","HLA-DRB5"
"CAP17",3.17748638926632e-217,1.62700681866735,0.836,0.341,6.37086021047898e-214,"19","CAP1"
"LRRK24",2.3441068775223e-214,1.6226163286243,0.498,0.116,4.69993428943222e-211,"19","LRRK2"
"ARPC57",4.31091770351138e-211,1.55672664886382,0.75,0.265,8.64338999554031e-208,"19","ARPC5"
"NAGK3",4.83386747839319e-211,1.96135271419979,0.412,0.087,9.69190429417835e-208,"19","NAGK"
"YBX18",1.3766699805218e-210,1.6022309862787,0.774,0.287,2.7602233109462e-207,"19","YBX1"
"S100A65",1.74563273011647e-206,1.40536708676768,0.755,0.25,3.49999362388352e-203,"19","S100A6"
"SORT14",5.70016867423307e-206,1.72435185680752,0.412,0.086,1.14288381918373e-202,"19","SORT1"
"TMSB4X9",1.58936693910959e-205,1.31240904979047,0.966,0.558,3.18668071291473e-202,"19","TMSB4X"
"P2RY133",3.27615959236188e-205,2.71794473188065,0.198,0.023,6.56869998268557e-202,"19","P2RY13"
"CTSZ4",4.51116704076314e-203,1.87153185740693,0.419,0.091,9.0448899167301e-200,"19","CTSZ"
"TLR83",9.83759534016474e-203,2.31757590224023,0.261,0.039,1.97243786570303e-199,"19","TLR8"
"BTK4",4.56082520051859e-201,2.06545584392737,0.338,0.063,9.14445452703976e-198,"19","BTK"
"DUSP51",5.9619278873634e-199,2.37230145337559,0.231,0.032,1.19536654141636e-195,"19","DUSP5"
"ARPC1B8",2.89547343644239e-198,1.44577861379346,0.722,0.246,5.805424240067e-195,"19","ARPC1B"
"ALDOA5",3.38521387955078e-198,1.49273247373871,0.687,0.221,6.78735382849931e-195,"19","ALDOA"
"PABPC46",1.3060859750024e-194,1.81091212740937,0.462,0.112,2.61870237987982e-191,"19","PABPC4"
"FCGRT3",2.50799236323102e-192,1.6773287732571,0.425,0.095,5.02852468827819e-189,"19","FCGRT"
"GLUL3",1.70584454525248e-190,1.66477742224019,0.493,0.126,3.42021831323122e-187,"19","GLUL"
"RASSF25",1.18404470987453e-187,1.57894058306067,0.531,0.143,2.37400964329843e-184,"19","RASSF2"
"KLF67",1.90776721341892e-184,1.39517284081719,0.819,0.33,3.82507326290493e-181,"19","KLF6"
"ITGB28",1.41629090480008e-183,1.17387985715856,0.9,0.383,2.83966326412417e-180,"19","ITGB2"
"LCP18",7.63263089513878e-183,1.22238332019586,0.947,0.518,1.53034249447533e-179,"19","LCP1"
"LAPTM56",4.23107128803507e-181,1.31052090515693,0.863,0.373,8.48329793251032e-178,"19","LAPTM5"
"TLR43",7.95394563508936e-181,1.99039912508735,0.321,0.062,1.59476609983542e-177,"19","TLR4"
"CTSB4",2.43551028187124e-176,1.20838428556432,0.622,0.186,4.88319811515183e-173,"19","CTSB"
"IFIT23",2.27282856220449e-173,1.89196297636477,0.257,0.043,4.55702126722e-170,"19","IFIT2"
"PLEK9",1.04300704905335e-171,1.20367181572767,0.741,0.266,2.09122913335197e-168,"19","PLEK"
"SIRPB13",4.99693612608927e-170,2.2138623119627,0.252,0.042,1.0018856932809e-166,"19","SIRPB1"
"ATP6V1B24",2.33836541253833e-169,1.60857910814366,0.428,0.106,4.68842265213934e-166,"19","ATP6V1B2"
"OGFRL13",9.30423054615205e-168,1.72192332300915,0.375,0.085,1.86549822450348e-164,"19","OGFRL1"
"GBP47",3.39960242989768e-162,1.82831809246805,0.429,0.111,6.81620287194485e-159,"19","GBP4"
"VIM5",3.13156541754897e-159,1.03871849173422,0.836,0.337,6.27878866218569e-156,"19","VIM"
"UBE2J14",1.44475877095877e-157,1.16263246903062,0.531,0.155,2.89674133577233e-154,"19","UBE2J1"
"C1orf1624",3.12299459463624e-157,1.71781409758934,0.37,0.087,6.26160416224565e-154,"19","C1orf162"
"CD79B1",2.0930516246542e-156,1.71243326373523,0.244,0.042,4.19656850743168e-153,"19","CD79B"
"ITGA48",2.31631218088869e-153,1.21334194118902,0.703,0.261,4.64420592268182e-150,"19","ITGA4"
"PLEKHO16",2.57220550192662e-151,1.47697585289168,0.438,0.118,5.15727203136288e-148,"19","PLEKHO1"
"ALOX54",6.0743416113979e-151,1.45303254883884,0.382,0.093,1.21790549308528e-147,"19","ALOX5"
"LYL12",2.42902301713698e-150,2.32084932257004,0.177,0.025,4.87019114935964e-147,"19","LYL1"
"C9orf723",2.22171389185567e-149,1.72652632494562,0.327,0.073,4.45453635317061e-146,"19","C9orf72"
"CD834",1.35618743415691e-148,1.42314475842996,0.36,0.085,2.7191558054846e-145,"19","CD83"
"MS4A4A1",1.51819323364227e-147,2.2353041417407,0.173,0.024,3.04397743345275e-144,"19","MS4A4A"
"MT-CO110",1.68240898191899e-147,1.00716525276246,0.978,0.69,3.37323000874757e-144,"19","MT-CO1"
"PAK15",1.0088233984873e-146,1.29682132171013,0.452,0.126,2.02269091396704e-143,"19","PAK1"
"ACTG16",2.66090392229223e-145,1.07973181218039,0.879,0.426,5.33511236419593e-142,"19","ACTG1"
"APLP24",3.06607463296214e-143,0.829674623907593,0.695,0.242,6.14747963908908e-140,"19","APLP2"
"NCOA46",7.90407183505696e-143,1.27317087009459,0.581,0.198,1.58476640292892e-139,"19","NCOA4"
