,C1 A,C1 B,C2,C3,C4,C5,C7,H1,H2,H3,H4,H5,H6
REACTOME_CELL_JUNCTION_ORGANIZATION,0.222429524552968,0.280839016256543,0.234910982515602,0.267070557637825,0.277908937486561,0.269155303296152,0.217623094866045,0.210236133456347,0.240330285020596,0.247941563149693,0.24013835880196,0.25055865498478,0.221597543636535
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,-0.135433938176898,-0.0841309383306922,-0.132563480754737,-0.10629635905033,0.0620411736476108,-0.0929129047260021,-0.162442650425793,-0.212714923464592,-0.172407627032882,-0.169215384808939,-0.150946300171056,-0.173564495679238,-0.207651167256546
REACTOME_CELLULAR_HEXOSE_TRANSPORT,6.80899520992415e-05,0.0860982680724756,-0.0189097547377624,0.0517781311599311,-0.0480457629898476,-0.0115851382005556,0.148544122792579,0.0272950883594322,-0.0323061654095731,-0.0316968917848975,0.0117047319855351,0.0444005206715988,-0.0657991685163719
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,0.220549272125495,0.29543636428709,0.17030570052136,0.254419671933231,0.223572000310595,0.207869904736254,0.268769310318149,0.201677490461999,0.239868548375393,0.192723345095147,0.139814065299461,0.218332896086266,0.157767795271371
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,0.032446557380856,0.163803400521836,0.0537956073001133,0.193972938597198,0.0995311986034402,0.203724226838461,0.0789327041359947,0.0904321276103247,0.104499714077226,0.13748818909869,0.124707825369901,0.138511769563964,0.126604620079121
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,0.143489317697117,0.263834405913256,0.159207490250957,0.232441862142356,0.22457411831973,0.238863260092663,0.145943033734169,0.0969907724365128,0.212639262898475,0.203772269189228,0.21219157872297,0.242975217591917,0.161046265819194
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,0.171526459179476,0.217814229923018,0.171261434749749,0.190547882787384,0.196930399266081,0.179782545648431,0.21402510221511,0.206305433015249,0.21616196356851,0.210321283631275,0.195391921639888,0.211931852932609,0.188034196837471
REACTOME_CELLULAR_RESPONSES_TO_MECHANICAL_STIMULI,0.28500413824787,0.258881582731591,0.262013805974735,0.298042598377663,0.272691702518297,0.313269271527772,0.330018239643699,0.233604379711563,0.307389748531923,0.251765982438498,0.254851474765631,0.249408301789655,0.243252972889946
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.153978902418411,0.224139229103883,0.14150892257587,0.217801834254725,0.193364759134247,0.208243345036478,0.194231208270985,0.148344190335896,0.181329635583577,0.160324830344565,0.146899936605354,0.180105866783588,0.13560180497051
REACTOME_CELLULAR_SENESCENCE,0.048040964635716,0.0732064322481893,0.0292018689966145,0.0658681683077054,0.0605852351586999,0.0710929865799776,0.0728462875039439,0.018919807996262,0.00969564936808322,0.0118733591157538,0.00747787306482257,0.045796440241408,0.0118038344570752
